%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
71645.040,299.211,0.834,9.108,34.599,-3.234,-12.649,5.025,-8.659,-18.585,-20.299,-28.341,-27.338,-26.228,-22.102,-22.824,-20.249,-29.744,-24.570,-24.450,-25.085,-25.788,-10.000,-544.798,-289.718,14.557,-369.450,101.413
71649.071,299.208,0.834,9.108,34.599,-3.554,-12.216,4.131,-8.125,-19.003,-19.651,-28.029,-26.697,-25.371,-22.549,-22.616,-21.198,-29.744,-24.256,-24.555,-23.945,-25.788,-10.000,-544.798,-289.718,14.557,-369.482,101.391
71645.040,299.209,0.834,9.098,34.520,-3.394,-12.649,5.025,-8.447,-18.794,-19.651,-28.029,-26.910,-26.121,-21.321,-22.512,-22.253,-29.000,-23.838,-24.555,-24.256,-25.901,-10.000,-544.798,-289.718,14.557,-369.466,101.413
71641.009,299.211,0.834,9.119,34.678,-3.394,-12.433,5.583,-7.805,-19.211,-19.543,-28.029,-27.765,-25.800,-21.209,-23.033,-22.358,-28.894,-23.211,-25.495,-24.670,-26.464,-10.000,-544.798,-289.718,14.557,-369.466,101.413
71636.977,299.211,0.834,9.088,34.441,-3.394,-12.757,4.913,-8.019,-18.689,-19.867,-27.510,-27.231,-25.907,-22.102,-24.700,-23.413,-28.363,-23.315,-25.391,-24.567,-26.014,-10.000,-544.798,-289.718,14.557,-369.450,101.413
71636.977,299.208,0.834,9.098,34.520,-3.074,-12.973,4.913,-8.019,-19.107,-20.191,-27.614,-26.697,-25.371,-21.321,-24.700,-21.304,-29.531,-23.942,-25.077,-24.878,-26.239,-10.000,-544.798,-289.718,14.557,-369.482,101.402
71641.009,299.209,0.834,9.098,34.520,-3.074,-12.973,5.136,-8.554,-18.794,-19.327,-28.237,-27.338,-25.586,-21.991,-24.909,-21.304,-28.363,-23.838,-25.182,-24.567,-26.126,-10.000,-544.798,-289.718,14.557,-369.482,101.413
71636.977,299.208,0.834,9.098,34.520,-3.234,-12.216,5.695,-8.660,-18.167,-19.651,-27.718,-26.910,-25.586,-21.879,-24.909,-20.565,-28.681,-24.570,-24.346,-23.530,-25.338,-10.000,-544.798,-289.718,14.557,-369.466,101.413
71636.977,299.211,0.834,9.088,34.441,-3.234,-11.892,5.583,-7.912,-19.107,-19.543,-27.510,-27.231,-25.693,-21.883,-23.345,-20.776,-28.894,-23.211,-24.973,-23.737,-24.775,-10.000,-544.798,-289.718,14.557,-369.466,101.402
71641.009,299.209,0.834,9.087,34.441,-3.394,-12.000,5.360,-8.126,-18.898,-19.435,-27.925,-27.124,-26.549,-21.548,-22.928,-21.409,-29.319,-23.315,-23.615,-23.219,-24.550,-10.000,-544.798,-289.718,14.557,-369.466,101.402
71636.977,299.209,0.834,9.088,34.441,-3.234,-11.243,4.466,-8.126,-18.898,-20.083,-28.029,-26.910,-25.371,-22.218,-23.241,-20.671,-29.956,-22.688,-24.032,-23.530,-24.437,-10.000,-544.798,-289.718,14.557,-369.466,101.423
71628.915,299.208,0.834,9.099,34.520,-3.394,-11.568,5.248,-7.805,-19.107,-19.759,-28.237,-27.124,-25.693,-22.218,-23.033,-22.042,-28.575,-23.315,-24.137,-23.219,-24.775,-10.000,-544.798,-289.718,14.557,-369.466,101.413
71632.946,299.209,0.834,9.067,34.283,-3.074,-11.243,5.025,-8.660,-19.003,-19.543,-28.029,-27.124,-25.800,-21.436,-24.596,-22.148,-28.150,-23.106,-24.450,-23.115,-24.550,-10.000,-544.798,-289.718,14.557,-369.434,101.391
