%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72209.431,299.259,0.841,9.136,35.081,-2.834,-8.973,8.150,-5.025,-17.541,-18.785,-26.987,-26.163,-26.977,-20.543,-21.160,-17.613,-25.707,-20.283,-20.898,-21.975,-23.870,-11.000,-544.798,-289.718,14.557,-369.580,101.413
72205.399,299.259,0.841,9.126,35.002,-2.994,-8.541,7.368,-5.132,-17.854,-19.109,-27.091,-26.270,-25.479,-22.106,-21.264,-16.558,-26.132,-20.283,-20.898,-22.286,-23.870,-11.000,-544.798,-289.718,14.557,-369.597,101.434
72217.494,299.261,0.841,9.125,35.002,-2.834,-8.649,8.931,-5.988,-17.854,-18.785,-27.195,-26.590,-25.693,-21.101,-20.952,-17.296,-25.920,-20.701,-21.002,-22.079,-24.095,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72213.462,299.261,0.841,9.136,35.081,-2.674,-8.216,8.597,-4.491,-17.541,-19.217,-26.676,-27.017,-26.228,-20.766,-21.577,-18.140,-26.238,-20.283,-21.002,-22.079,-22.632,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.264,0.841,9.157,35.239,-2.674,-8.757,8.038,-5.560,-18.481,-18.893,-26.676,-26.163,-25.800,-20.878,-20.952,-18.878,-26.132,-19.551,-21.629,-21.561,-23.307,-11.000,-544.798,-289.718,14.557,-369.597,101.423
72201.368,299.261,0.841,9.137,35.081,-2.834,-7.676,8.038,-5.453,-17.123,-19.756,-26.364,-26.483,-25.907,-20.431,-20.952,-18.773,-26.451,-20.492,-20.898,-22.079,-23.195,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.264,0.841,9.126,35.002,-2.994,-7.892,8.150,-4.704,-17.541,-19.001,-27.299,-26.590,-25.693,-20.766,-21.056,-18.562,-25.707,-20.283,-20.898,-20.939,-23.195,-11.000,-544.798,-289.718,14.557,-369.580,101.402
72201.368,299.263,0.840,9.137,35.081,-3.154,-7.676,8.597,-6.094,-17.541,-18.569,-26.780,-26.056,-25.907,-19.762,-22.828,-18.351,-26.026,-21.015,-20.898,-21.457,-22.632,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.259,0.841,9.136,35.081,-3.474,-7.568,8.373,-5.239,-17.854,-18.353,-25.949,-26.163,-25.693,-20.093,-21.681,-18.456,-26.345,-20.701,-21.525,-21.042,-22.632,-11.000,-544.798,-289.718,14.557,-369.597,101.391
72205.399,299.261,0.841,9.136,35.081,-3.154,-7.243,8.262,-4.704,-17.437,-18.677,-26.572,-26.163,-26.121,-20.205,-20.743,-18.034,-26.132,-20.701,-20.375,-21.353,-22.519,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.261,0.841,9.116,34.923,-3.154,-7.027,7.703,-5.132,-17.645,-18.677,-26.572,-26.163,-25.372,-20.205,-20.326,-18.140,-27.301,-20.492,-21.316,-20.628,-21.843,-11.000,-544.798,-289.718,14.557,-369.597,101.423
72201.368,299.259,0.841,9.126,35.002,-3.154,-7.243,8.485,-5.560,-17.437,-18.569,-26.883,-25.522,-25.800,-19.870,-20.430,-19.300,-26.235,-20.388,-20.898,-20.835,-21.843,-11.000,-544.798,-289.718,14.557,-369.548,101.413
72197.337,299.263,0.840,9.137,35.081,-3.154,-6.811,9.043,-4.918,-17.437,-18.569,-26.157,-26.911,-25.586,-20.317,-21.160,-19.933,-26.128,-19.865,-20.480,-21.250,-20.830,-11.000,-544.798,-289.718,14.557,-369.613,101.413
72201.368,299.259,0.841,9.147,35.160,-2.994,-8.000,8.708,-5.025,-17.541,-18.461,-26.364,-26.056,-25.800,-20.540,-21.264,-20.460,-26.978,-20.493,-20.376,-21.975,-21.731,-11.000,-544.798,-289.718,14.557,-369.597,101.402
72205.399,299.261,0.841,9.126,35.002,-3.154,-6.811,7.927,-4.704,-17.332,-19.433,-26.780,-26.056,-25.372,-20.317,-22.411,-19.617,-26.766,-20.179,-21.002,-22.390,-22.744,-11.000,-544.798,-289.718,14.557,-369.613,101.413
72197.337,299.261,0.840,9.127,35.002,-2.994,-8.433,8.708,-4.811,-17.541,-19.001,-26.676,-26.377,-26.014,-21.321,-23.349,-19.617,-25.810,-20.074,-22.570,-22.494,-24.321,-11.000,-544.798,-289.718,14.557,-369.580,101.434
72197.337,299.266,0.840,9.127,35.002,-3.314,-8.649,9.266,-5.560,-17.123,-18.893,-26.780,-26.056,-25.800,-20.428,-23.766,-18.562,-25.597,-22.061,-22.256,-23.116,-23.758,-11.000,-544.798,-289.718,14.557,-369.564,101.402
72201.368,299.259,0.841,9.126,35.002,-2.994,-8.649,8.598,-4.598,-18.481,-18.677,-26.883,-26.377,-26.014,-21.321,-21.577,-17.824,-26.128,-22.270,-23.510,-23.530,-24.321,-11.000,-544.798,-289.718,14.557,-369.580,101.402
72209.431,299.263,0.841,9.126,35.002,-3.314,-9.730,7.928,-5.131,-17.645,-18.677,-26.572,-26.270,-27.191,-21.768,-20.639,-17.191,-27.615,-22.688,-22.883,-23.634,-24.771,-11.000,-544.798,-289.718,14.557,-369.564,101.391
72201.368,299.263,0.840,9.137,35.081,-3.154,-9.298,7.928,-5.131,-17.228,-18.353,-26.572,-26.590,-25.907,-21.656,-18.867,-16.874,-28.890,-23.002,-22.465,-22.701,-25.222,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.200,0.841,17.020,121.777,-7.957,-3.460,50.359,0.642,-48.544,-55.383,-69.129,-70.160,-67.336,-53.032,-62.959,-68.879,-80.627,-76.219,-77.218,-76.602,-78.141,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.200,0.841,17.026,121.856,-7.957,-4.000,50.471,0.000,-48.335,-55.383,-68.818,-69.412,-67.979,-53.032,-62.646,-70.356,-81.265,-76.533,-76.800,-76.706,-79.042,-11.000,-544.798,-289.718,14.557,-369.613,101.402
72201.368,299.196,0.841,17.032,121.935,-7.957,-3.784,50.136,-0.214,-48.335,-55.383,-69.440,-69.839,-67.015,-52.474,-62.438,-70.883,-81.265,-76.637,-76.800,-78.261,-80.506,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.200,0.841,17.037,122.014,-7.636,-5.297,50.805,-0.000,-47.611,-54.627,-69.337,-69.199,-66.908,-52.363,-64.731,-69.934,-81.902,-76.637,-78.054,-78.468,-83.208,-11.000,-544.798,-289.718,14.557,-369.564,101.413
72201.368,299.198,0.841,17.026,121.856,-8.277,-6.595,51.029,0.107,-47.715,-55.167,-68.818,-69.839,-67.443,-52.586,-63.897,-70.356,-83.071,-77.265,-79.412,-78.157,-81.294,-11.000,-544.798,-289.718,14.557,-369.548,101.380
72201.368,299.201,0.841,17.038,122.014,-7.957,-5.514,51.029,0.428,-48.968,-55.275,-68.506,-69.732,-67.015,-52.921,-60.457,-73.626,-84.239,-79.147,-79.830,-78.261,-79.718,-11.000,-544.798,-289.718,14.557,-369.580,101.434
72205.399,299.200,0.841,17.032,121.935,-7.957,-4.541,50.917,0.214,-47.402,-55.383,-68.714,-69.092,-67.229,-50.465,-64.731,-74.891,-85.089,-78.519,-77.740,-78.261,-78.479,-11.000,-544.798,-289.718,14.557,-369.580,101.402
72201.368,299.200,0.841,17.038,122.014,-8.277,-2.811,51.140,0.321,-47.193,-54.951,-67.987,-68.985,-65.624,-49.348,-69.005,-73.098,-83.283,-76.219,-76.800,-76.810,-76.903,-11.000,-544.798,-289.718,14.557,-369.564,101.413
72205.399,299.196,0.841,17.042,122.093,-8.117,-3.027,51.140,0.107,-47.089,-54.519,-68.402,-68.558,-66.052,-49.787,-70.568,-71.832,-80.415,-75.592,-75.441,-75.048,-75.889,-11.000,-544.798,-289.718,14.557,-369.580,101.413
72201.368,299.198,0.841,17.032,121.935,-8.117,-0.865,51.029,0.964,-46.880,-54.195,-67.987,-69.412,-66.159,-50.680,-69.932,-68.984,-79.565,-72.664,-74.083,-73.700,-73.525,-11.000,-544.798,-289.718,14.557,-369.597,101.391
72205.399,299.198,0.841,17.031,121.935,-7.797,0.217,51.029,0.749,-47.715,-54.411,-67.883,-68.344,-66.587,-51.015,-66.910,-69.713,-77.334,-72.037,-73.456,-72.767,-72.512,-11.000,-544.798,-289.718,14.557,-369.564,101.413
72197.337,299.198,0.841,17.021,121.777,-8.117,1.949,50.359,0.107,-47.089,-54.519,-68.506,-68.237,-66.480,-50.457,-66.806,-67.076,-76.898,-72.351,-72.516,-73.285,-71.836,-11.000,-544.798,-289.718,14.557,-369.580,101.413
72205.399,299.195,0.841,17.026,121.856,-8.117,1.949,50.471,-0.214,-47.715,-54.735,-68.195,-69.305,-66.159,-51.908,-65.868,-65.494,-77.216,-72.247,-73.038,-71.627,-72.512,-11.000,-544.798,-289.718,14.557,-369.580,101.402
72201.368,299.196,0.841,17.026,121.856,-8.277,1.299,50.582,-0.748,-47.924,-55.167,-68.714,-69.412,-66.801,-51.573,-63.783,-64.861,-77.641,-72.456,-71.994,-71.316,-72.286,-11.000,-544.798,-289.718,14.557,-369.564,101.413
72213.462,299.196,0.841,17.025,121.856,-7.957,1.516,50.694,0.321,-48.029,-55.383,-68.610,-69.839,-67.122,-51.685,-62.741,-66.127,-77.323,-72.142,-72.621,-71.213,-71.611,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.198,0.841,17.026,121.856,-8.277,0.433,50.247,-0.214,-48.133,-55.707,-68.921,-69.946,-67.658,-52.801,-63.575,-68.236,-78.172,-71.828,-71.262,-70.902,-71.273,-11.000,-544.798,-289.718,14.557,-369.580,101.423
72209.431,299.198,0.841,17.031,121.935,-8.117,1.732,49.019,-0.214,-48.342,-55.059,-68.714,-68.878,-67.229,-52.466,-65.451,-68.341,-77.429,-70.469,-70.740,-69.865,-70.710,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72205.399,299.196,0.841,17.026,121.856,-8.117,1.841,50.128,-0.535,-47.924,-54.843,-69.440,-69.519,-67.122,-51.238,-67.431,-67.287,-74.880,-69.110,-69.486,-69.554,-70.710,-11.000,-544.798,-289.718,14.557,-369.597,101.423
72213.462,299.198,0.841,17.031,121.935,-8.277,2.707,49.681,-0.428,-47.924,-54.843,-68.299,-69.519,-67.229,-52.355,-67.744,-64.967,-74.030,-68.169,-69.799,-68.518,-68.346,-11.000,-544.798,-289.718,14.557,-369.597,101.413
72213.462,299.198,0.841,17.031,121.935,-8.117,1.841,49.904,-0.107,-49.386,-55.275,-68.818,-69.519,-67.443,-53.471,-64.930,-63.912,-75.092,-69.633,-69.486,-66.030,-66.094,-11.000,-544.798,-289.718,14.557,-369.564,101.413
72225.556,299.150,0.841,34.015,486.579,-26.207,-16.757,245.949,40.149,-158.390,-192.166,-231.779,-233.651,-220.208,-152.175,-193.463,-309.749,-394.107,-376.494,-360.175,-350.671,-344.542,-11.000,-544.798,-289.718,14.557,-369.597,101.434
72217.494,299.146,0.841,34.011,486.421,-26.047,-30.920,246.100,40.257,-159.121,-192.813,-232.402,-234.292,-219.566,-153.068,-200.134,-315.655,-397.400,-383.709,-365.086,-355.024,-355.013,-11.000,-544.798,-289.718,14.557,-369.580,101.423
