%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72386.811,299.266,0.843,8.946,33.718,-3.122,-53.217,-31.222,-46.006,-56.401,-56.797,-66.898,-65.484,-63.836,-60.749,-60.278,-56.882,-66.851,-62.439,-63.760,-62.196,-63.323,-11.000,-544.798,-289.718,14.557,-368.569,101.434
72386.811,299.264,0.843,8.925,33.560,-2.962,-53.975,-31.339,-45.899,-56.714,-57.445,-65.548,-64.843,-63.836,-60.302,-60.591,-58.043,-66.957,-62.648,-63.237,-62.611,-61.971,-11.000,-544.798,-289.718,14.557,-368.569,101.445
72390.842,299.264,0.843,8.946,33.718,-2.962,-53.542,-31.896,-45.150,-56.401,-57.121,-65.444,-66.018,-64.050,-60.637,-60.800,-58.676,-66.638,-62.021,-63.237,-61.885,-61.633,-11.000,-544.798,-289.718,14.557,-368.569,101.434
72382.779,299.263,0.843,8.946,33.718,-2.642,-53.434,-31.562,-45.043,-56.923,-57.553,-65.755,-65.590,-64.157,-60.302,-61.321,-58.993,-66.532,-61.602,-63.551,-61.781,-61.745,-11.000,-544.798,-289.718,14.557,-368.585,101.434
72386.811,299.263,0.843,8.946,33.718,-2.962,-53.217,-32.342,-45.150,-56.191,-57.013,-65.444,-64.949,-64.800,-60.637,-61.321,-59.943,-66.532,-61.393,-63.655,-61.781,-61.520,-11.000,-544.798,-289.718,14.557,-368.569,101.423
72386.811,299.261,0.843,8.946,33.718,-2.962,-52.677,-32.008,-45.578,-55.669,-57.769,-66.171,-65.270,-64.478,-60.525,-61.947,-59.309,-65.575,-61.184,-62.819,-61.781,-61.520,-11.000,-544.798,-289.718,14.557,-368.585,101.413
72382.779,299.263,0.843,8.957,33.797,-3.122,-52.028,-32.677,-45.685,-56.296,-58.309,-65.859,-64.746,-64.693,-60.525,-62.155,-57.515,-65.257,-61.289,-61.983,-61.678,-61.858,-11.000,-544.798,-289.718,14.557,-368.585,101.423
72382.779,299.266,0.843,8.946,33.718,-3.282,-52.568,-33.011,-45.685,-56.296,-57.877,-66.067,-65.173,-64.167,-61.419,-61.634,-57.410,-65.894,-61.602,-62.924,-61.989,-62.083,-11.000,-544.798,-289.718,14.557,-368.536,101.423
72382.779,299.266,0.843,8.946,33.718,-2.962,-52.244,-31.896,-45.471,-56.296,-57.877,-66.067,-65.707,-64.167,-62.201,-60.904,-57.832,-65.894,-62.021,-63.133,-61.885,-62.309,-11.000,-544.798,-289.718,14.557,-368.585,101.413
72382.779,299.263,0.843,8.957,33.797,-3.122,-52.785,-32.342,-46.220,-56.505,-57.337,-66.482,-65.387,-64.060,-61.531,-60.174,-58.360,-64.938,-62.230,-62.924,-61.781,-62.985,-11.000,-544.798,-289.718,14.557,-368.569,101.423
