%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
72342.466,299.920,0.840,8.893,33.228,-2.465,-61.431,-30.777,-43.326,-52.634,-53.119,-59.507,-57.581,-54.832,-51.817,-52.138,-55.073,-72.050,-72.053,-74.831,-73.705,-74.118,-8.000,-544.798,-289.718,14.557,-369.042,101.402
72342.466,299.919,0.840,8.861,32.991,-2.946,-62.512,-31.223,-43.112,-53.261,-53.012,-60.026,-57.260,-54.083,-51.594,-51.616,-55.390,-70.775,-71.635,-75.772,-73.290,-74.343,-8.000,-544.798,-289.718,14.557,-369.042,101.413
72342.466,299.920,0.840,8.872,33.070,-2.786,-62.512,-30.889,-43.105,-52.426,-53.012,-59.611,-56.726,-55.261,-51.705,-51.616,-55.284,-70.669,-72.053,-75.772,-73.601,-74.794,-8.000,-544.798,-289.718,14.557,-369.042,101.402
72342.466,299.919,0.840,8.872,33.070,-2.465,-61.647,-30.889,-43.212,-52.112,-52.904,-60.130,-56.940,-54.832,-51.259,-51.512,-54.018,-71.413,-70.903,-74.936,-73.705,-75.019,-8.000,-544.798,-289.718,14.557,-369.042,101.434
72342.466,299.917,0.840,8.861,32.991,-2.465,-61.323,-31.669,-42.784,-52.008,-52.804,-59.611,-56.619,-53.761,-51.594,-51.512,-53.702,-70.881,-70.903,-75.249,-73.187,-74.907,-8.000,-544.798,-289.718,14.557,-369.009,101.423
72346.497,299.922,0.840,8.861,32.991,-2.626,-61.647,-30.220,-43.747,-52.425,-52.372,-60.243,-56.833,-53.868,-51.705,-51.199,-54.335,-69.925,-71.948,-75.249,-73.083,-73.893,-8.000,-544.798,-289.718,14.557,-369.009,101.434
72334.403,299.920,0.840,8.851,32.912,-2.786,-61.863,-30.108,-43.319,-52.321,-52.156,-59.619,-56.512,-54.083,-50.923,-51.199,-53.280,-70.562,-73.622,-75.563,-73.187,-74.343,-8.000,-544.798,-289.718,14.557,-369.042,101.434
72338.434,299.920,0.840,8.872,33.070,-2.465,-61.863,-30.108,-42.784,-52.112,-52.480,-59.204,-57.046,-54.511,-50.588,-51.825,-51.697,-72.688,-74.249,-75.040,-73.187,-74.343,-8.000,-544.798,-289.718,14.557,-369.042,101.434
72342.466,299.922,0.840,8.872,33.070,-2.626,-62.080,-30.331,-42.891,-52.425,-52.480,-59.308,-56.940,-53.761,-51.362,-50.886,-52.225,-74.494,-73.308,-75.354,-74.016,-74.794,-8.000,-544.798,-289.718,14.557,-369.026,101.434
72346.497,299.920,0.840,8.861,32.991,-2.465,-64.135,-30.331,-43.212,-52.216,-52.048,-59.412,-56.833,-54.190,-51.474,-49.218,-52.752,-74.601,-72.890,-76.817,-74.223,-76.258,-8.000,-544.798,-289.718,14.557,-369.009,101.402
