%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74221.082,297.408,358.502,155.881,0.014,0.017,5.000
74225.114,297.411,358.344,156.201,-0.002,-0.005,5.000
74221.082,297.410,358.265,155.881,0.030,0.006,5.000
74225.114,297.413,358.423,156.041,0.014,-0.015,5.000
74233.176,297.411,358.344,155.881,-0.019,-0.005,5.000
74225.114,297.411,358.502,156.041,0.014,-0.005,5.000
74229.145,297.415,358.423,155.721,0.030,0.017,5.000
74229.145,297.415,358.423,155.560,-0.019,0.006,5.000
74229.145,297.413,358.502,155.721,0.014,0.006,5.000
74233.176,297.411,358.423,155.560,-0.002,-0.015,5.000
74229.145,297.413,358.423,155.721,-0.002,-0.005,5.000
74233.176,297.411,358.344,155.560,-0.002,0.006,5.000
74233.176,297.413,358.423,155.560,0.014,-0.005,5.000
74229.145,297.415,358.265,155.721,-0.019,0.017,5.000
74229.145,297.415,358.186,155.881,-0.002,-0.005,5.000
74229.145,297.413,358.186,155.721,-0.002,0.006,5.000
74225.114,297.415,358.265,155.881,-0.002,0.028,5.000
74229.145,297.413,358.186,155.881,-0.002,0.006,5.000
74233.176,297.413,358.265,156.361,0.030,-0.005,5.000
74229.145,297.413,358.344,156.201,-0.019,0.017,5.000
74225.114,297.415,358.502,156.521,-0.019,-0.015,5.000
74233.176,297.416,358.502,156.681,-0.019,0.006,5.000
74225.114,297.415,358.344,156.681,-0.002,0.006,5.000
74221.082,297.413,358.344,157.321,0.014,-0.015,5.000
74225.114,297.413,358.344,157.161,-0.002,0.017,5.000
74225.114,297.413,358.423,157.642,-0.002,0.006,5.000
74225.114,297.413,358.423,157.962,-0.019,-0.026,5.000
74217.051,297.411,358.502,158.282,-0.002,-0.005,5.000
74221.082,297.413,358.502,158.602,0.030,0.006,5.000
74229.145,297.413,358.581,158.602,-0.002,0.006,5.000
74221.082,297.415,358.423,158.762,0.030,-0.015,5.000
74221.082,297.415,358.660,159.243,0.014,0.006,5.000
74217.051,297.415,358.660,159.403,0.014,0.006,5.000
74217.051,297.415,358.581,159.883,-0.002,0.006,5.000
74213.020,297.413,358.660,159.883,-0.002,-0.005,5.000
74217.051,297.416,358.739,160.043,0.014,-0.015,5.000
74221.082,297.415,358.581,160.043,0.014,-0.005,5.000
74221.082,297.415,358.739,160.363,-0.019,-0.005,5.000
74217.051,297.415,358.818,160.523,0.014,-0.015,5.000
74217.051,297.415,358.818,160.523,-0.002,0.006,5.000
74213.020,297.416,358.897,160.683,0.014,0.006,5.000
74217.051,297.416,358.897,160.844,-0.002,-0.005,5.000
74221.082,297.418,358.897,161.004,-0.002,-0.005,5.000
74217.051,297.418,358.897,161.004,0.014,0.006,5.000
74225.114,297.419,359.134,161.004,-0.019,0.017,5.000
74221.082,297.419,359.055,160.844,0.014,-0.015,5.000
74213.020,297.418,358.976,161.164,0.030,0.006,5.000
74213.020,297.421,359.134,160.844,-0.002,0.006,5.000
74225.114,297.419,359.055,160.683,-0.019,0.017,5.000
74225.114,297.418,359.134,160.683,-0.002,0.006,5.000
74213.020,297.418,359.213,160.683,-0.002,-0.005,5.000
74229.145,297.419,359.134,160.523,0.014,-0.005,5.000
74221.082,297.421,359.213,160.363,0.014,0.006,5.000
74229.145,297.419,359.213,160.363,-0.002,0.006,5.000
74225.114,297.419,359.055,160.203,-0.002,0.006,5.000
74221.082,297.418,359.213,159.723,-0.019,0.017,5.000
74233.176,297.419,359.213,159.883,-0.002,0.017,5.000
74229.145,297.419,359.134,159.563,-0.002,0.006,5.000
74233.176,297.421,359.213,159.563,0.014,-0.015,5.000
74225.114,297.419,359.134,159.082,0.014,-0.005,5.000
74225.114,297.418,359.134,158.922,0.014,-0.005,5.000
74229.145,297.423,359.213,158.602,0.014,-0.005,5.000
74233.176,297.421,359.213,158.602,0.014,0.017,5.000
74229.145,297.421,359.213,158.282,-0.002,0.006,5.000
74229.145,297.421,359.213,158.282,-0.019,0.006,5.000
74217.051,297.423,358.976,158.442,0.014,-0.015,5.000
74229.145,297.421,359.213,157.962,-0.002,0.006,5.000
74229.145,297.419,359.213,157.482,-0.002,-0.005,5.000
74229.145,297.418,359.055,157.802,-0.019,0.006,5.000
74229.145,297.418,359.055,157.321,-0.019,0.017,5.000
74229.145,297.419,358.976,157.001,-0.002,-0.015,5.000
74229.145,297.419,358.976,157.001,0.014,-0.015,5.000
74221.082,297.416,359.055,156.681,0.014,-0.005,5.000
74225.114,297.418,359.055,156.521,0.014,-0.005,5.000
74217.051,297.418,359.055,156.361,0.014,-0.015,5.000
74229.145,297.418,358.897,156.361,0.014,0.006,5.000
74225.114,297.416,359.134,156.201,-0.019,0.006,5.000
74225.114,297.416,358.897,156.201,-0.002,0.006,5.000
74221.082,297.416,358.897,156.361,-0.002,-0.015,5.000
74233.176,297.421,358.897,156.201,-0.002,-0.005,5.000
74225.114,297.418,358.897,156.201,-0.019,0.017,5.000
74221.082,297.418,358.818,155.881,-0.002,0.017,5.000
74221.082,297.418,358.897,156.041,0.014,-0.005,5.000
74225.114,297.418,358.897,155.881,-0.002,-0.015,5.000
74225.114,297.419,358.897,156.041,0.014,-0.005,5.000
74233.176,297.419,358.818,156.041,-0.019,-0.005,5.000
74221.082,297.413,358.897,156.041,-0.019,-0.015,5.000
74217.051,297.416,358.976,156.201,-0.019,-0.005,5.000
74217.051,297.418,358.976,156.041,-0.002,0.017,5.000
74225.114,297.415,358.897,156.041,0.030,0.006,5.000
74225.114,297.416,358.897,156.041,-0.002,-0.015,5.000
74217.051,297.418,358.976,156.201,0.030,-0.015,5.000
74217.051,297.418,358.976,156.361,-0.002,-0.015,5.000
74225.114,297.416,359.055,156.361,-0.035,0.017,5.000
74221.082,297.415,359.134,156.361,-0.002,-0.005,5.000
74221.082,297.416,359.213,156.201,0.014,-0.005,5.000
74221.082,297.416,359.055,156.681,0.014,0.006,5.000
74229.145,297.418,359.213,156.361,-0.019,-0.005,5.000
74217.051,297.415,359.292,156.841,0.014,-0.005,5.000
74225.114,297.415,359.371,157.001,-0.002,0.006,5.000
74225.114,297.416,359.292,157.001,0.014,0.006,5.000
74229.145,297.418,359.450,157.001,-0.002,-0.005,5.000
74221.082,297.418,359.529,157.161,-0.002,-0.005,5.000
74221.082,297.416,359.609,157.321,-0.002,-0.026,5.000
74221.082,297.418,359.609,157.482,-0.002,0.017,5.000
74221.082,297.416,359.688,157.962,-0.002,-0.005,5.000
74225.114,297.418,359.767,157.642,0.014,0.006,5.000
74221.082,297.419,359.688,158.122,0.014,0.006,5.000
74229.145,297.419,359.688,158.282,-0.002,-0.015,5.000
74221.082,297.416,359.688,158.442,-0.002,0.006,5.000
74225.114,297.416,359.767,158.602,0.014,-0.005,5.000
74229.145,297.416,359.688,158.602,-0.002,0.017,5.000
74225.114,297.415,359.767,158.762,-0.019,-0.005,5.000
74229.145,297.418,359.846,158.762,-0.035,0.006,5.000
74237.208,297.418,359.846,158.762,-0.019,-0.005,5.000
74229.145,297.419,359.846,159.243,0.030,-0.005,5.000
74225.114,297.418,359.846,159.563,-0.002,-0.015,5.000
74233.176,297.418,359.846,159.563,0.014,0.006,5.000
74225.114,297.416,359.846,159.723,-0.002,0.006,5.000
74233.176,297.418,359.925,159.883,0.014,0.006,5.000
74229.145,297.419,359.767,159.883,0.014,0.017,5.000
74229.145,297.418,359.846,159.883,0.014,-0.005,5.000
74229.145,297.418,359.846,160.203,-0.002,-0.026,5.000
74225.114,297.418,359.846,160.363,-0.002,-0.015,5.000
74233.176,297.421,359.925,160.043,-0.002,-0.005,5.000
74229.145,297.416,360.004,160.363,-0.019,-0.026,5.000
74221.082,297.421,360.004,160.523,0.014,-0.015,5.000
74225.114,297.423,359.846,160.523,-0.002,-0.005,5.000
74229.145,297.421,359.767,160.844,-0.019,-0.005,5.000
74233.176,297.424,359.925,160.683,-0.002,0.017,5.000
74233.176,297.419,360.004,160.844,-0.019,0.006,5.000
74229.145,297.419,359.925,160.844,-0.019,0.006,5.000
74233.176,297.421,360.083,160.844,-0.002,-0.015,5.000
74225.114,297.421,360.083,161.324,-0.002,0.017,5.000
74233.176,297.421,360.083,161.164,0.030,-0.005,5.000
74225.114,297.421,360.162,160.844,-0.002,-0.015,5.000
74229.145,297.419,360.004,161.004,-0.002,-0.005,5.000
74229.145,297.421,360.083,161.164,-0.002,0.006,5.000
74225.114,297.421,360.241,161.164,0.014,-0.015,5.000
74221.082,297.419,360.241,161.324,0.014,0.006,5.000
74229.145,297.419,360.320,161.324,-0.002,-0.005,5.000
74225.114,297.418,360.320,161.324,-0.002,0.006,5.000
74225.114,297.418,360.241,161.484,-0.019,-0.015,5.000
74225.114,297.419,360.399,161.164,0.014,0.017,5.000
74225.114,297.421,360.399,161.004,-0.019,-0.005,5.000
74225.114,297.423,360.320,161.004,-0.002,0.006,5.000
74225.114,297.423,360.320,161.164,0.047,0.006,5.000
74229.145,297.423,360.478,161.004,0.030,-0.005,5.000
74225.114,297.421,360.478,161.004,-0.019,-0.026,5.000
74225.114,297.423,360.557,161.484,-0.019,0.006,5.000
74225.114,297.421,360.478,161.004,-0.002,0.006,5.000
74225.114,297.421,360.557,161.324,0.014,-0.005,5.000
74225.114,297.419,360.715,161.004,0.014,-0.005,5.000
74233.176,297.419,360.636,161.164,-0.035,0.017,5.000
74225.114,297.416,360.715,161.004,-0.019,-0.015,5.000
74229.145,297.418,360.478,161.004,0.014,-0.015,5.000
74225.114,297.421,360.636,161.164,-0.002,-0.005,5.000
74233.176,297.421,360.715,161.004,-0.002,0.017,5.000
74229.145,297.418,360.794,161.164,0.014,-0.005,5.000
74237.208,297.419,360.952,161.004,0.014,-0.005,5.000
74233.176,297.421,360.794,161.324,-0.002,-0.005,5.000
74241.239,297.418,360.794,161.164,-0.019,-0.005,5.000
74233.176,297.418,360.715,161.324,-0.019,0.017,5.000
74237.208,297.415,360.873,161.324,-0.019,0.017,5.000
74233.176,297.416,360.873,161.324,-0.002,-0.005,5.000
74233.176,297.418,360.873,161.324,-0.019,0.006,5.000
74237.208,297.418,360.873,161.324,-0.002,-0.005,5.000
74237.208,297.416,360.794,161.644,-0.002,0.006,5.000
74237.208,297.418,360.873,161.324,-0.002,-0.005,5.000
74233.176,297.416,360.715,161.484,0.014,-0.005,5.000
74233.176,297.416,360.952,161.484,0.014,0.006,5.000
74233.176,297.415,360.873,161.804,0.030,-0.005,5.000
74233.176,297.413,360.873,161.964,0.030,-0.037,5.000
74225.114,297.416,360.873,161.804,-0.002,0.006,5.000
74229.145,297.416,360.952,161.804,-0.002,0.017,5.000
74233.176,297.413,360.794,161.964,-0.019,-0.015,5.000
74233.176,297.411,360.794,162.124,-0.002,0.006,5.000
74225.114,297.413,360.715,162.444,-0.002,0.006,5.000
74225.114,297.416,360.794,162.444,-0.019,-0.005,5.000
74229.145,297.415,360.794,162.444,0.014,0.006,5.000
74229.145,297.413,360.794,162.605,-0.002,-0.005,5.000
74225.114,297.416,360.715,162.765,-0.019,0.006,5.000
74229.145,297.415,360.636,163.085,0.014,-0.005,5.000
74229.145,297.416,360.794,162.925,-0.002,0.017,5.000
74225.114,297.413,360.794,163.245,0.014,-0.005,5.000
74221.082,297.413,360.715,163.245,0.014,0.017,5.000
74225.114,297.416,360.636,163.405,-0.002,0.006,5.000
74225.114,297.416,360.478,163.405,-0.002,-0.015,5.000
74229.145,297.416,360.636,163.725,0.014,0.006,5.000
74225.114,297.415,360.794,163.565,0.014,-0.015,5.000
74221.082,297.416,360.715,163.725,-0.002,0.006,5.000
74225.114,297.416,360.636,163.725,-0.002,0.006,5.000
74221.082,297.416,360.557,164.205,0.014,0.017,5.000
74233.176,297.415,360.715,164.205,-0.002,0.017,5.000
74233.176,297.415,360.636,164.205,-0.019,0.006,5.000
74221.082,297.415,360.715,164.686,0.030,-0.005,5.000
74229.145,297.411,360.636,164.366,-0.002,-0.005,5.000
74229.145,297.415,360.715,164.366,-0.002,-0.005,5.000
74225.114,297.415,360.715,164.846,0.030,0.006,5.000
74229.145,297.416,360.715,164.686,-0.002,0.017,5.000
74221.082,297.415,360.715,165.006,-0.002,-0.005,5.000
74237.208,297.413,360.873,165.006,-0.002,-0.005,5.000
74229.145,297.415,360.794,165.006,0.030,0.006,5.000
74229.145,297.418,360.873,165.166,-0.002,-0.026,5.000
74237.208,297.416,360.715,165.166,-0.019,0.006,5.000
74241.239,297.415,360.794,165.486,0.030,-0.005,5.000
74237.208,297.416,360.952,165.486,-0.002,-0.005,5.000
74241.239,297.415,360.715,165.326,0.030,0.006,5.000
74237.208,297.415,360.873,165.806,-0.019,-0.005,5.000
74237.208,297.415,360.873,165.486,-0.002,0.017,5.000
74233.176,297.415,360.952,165.486,-0.002,0.006,5.000
74237.208,297.415,360.873,165.486,-0.002,0.028,5.000
74241.239,297.416,360.952,165.646,0.014,-0.005,5.000
74237.208,297.413,360.873,165.646,-0.002,0.017,5.000
74241.239,297.416,360.952,165.646,-0.002,0.006,5.000
74233.176,297.415,360.952,165.646,-0.002,0.017,5.000
74233.176,297.415,360.952,165.806,-0.002,-0.015,5.000
74233.176,297.413,361.031,165.646,-0.019,-0.026,5.000
74237.208,297.413,361.031,165.966,-0.002,-0.005,5.000
74229.145,297.413,360.952,165.646,-0.019,-0.005,5.000
74229.145,297.415,360.873,165.646,-0.019,-0.005,5.000
74229.145,297.415,361.031,165.806,-0.019,0.006,5.000
74229.145,297.415,360.873,165.646,-0.002,0.017,5.000
74229.145,297.413,361.031,165.966,0.030,-0.005,5.000
74221.082,297.413,360.952,165.646,0.014,-0.005,5.000
74225.114,297.415,360.952,165.646,-0.002,-0.026,5.000
74221.082,297.413,360.794,165.646,0.014,-0.015,5.000
