%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74047.734,297.548,42.455,14.569,-336.533,84.236,2.000
74039.671,297.548,42.376,14.409,-336.533,84.215,2.000
74043.702,297.552,42.376,14.409,-336.550,84.204,2.000
74043.702,297.548,42.455,14.569,-336.533,84.204,2.000
74043.702,297.547,42.297,14.409,-336.566,84.215,2.000
74039.671,297.550,42.218,14.569,-336.517,84.215,2.000
74047.734,297.548,42.297,14.569,-336.550,84.236,2.000
74047.734,297.547,42.376,14.569,-336.517,84.215,2.000
74047.734,297.547,42.376,14.569,-336.517,84.236,2.000
74035.639,297.548,42.376,14.409,-336.517,84.215,2.000
74035.639,297.548,42.297,14.569,-336.533,84.236,2.000
74035.639,297.547,42.376,14.569,-336.517,84.226,2.000
74039.671,297.545,42.297,14.409,-336.517,84.215,2.000
74039.671,297.545,42.376,14.409,-336.533,84.215,2.000
74035.639,297.545,42.376,14.249,-336.484,84.226,2.000
74035.639,297.545,42.376,14.089,-336.550,84.226,2.000
74047.734,297.545,42.376,13.769,-336.550,84.215,2.000
74035.639,297.545,42.376,14.089,-336.533,84.215,2.000
74039.671,297.542,42.376,13.929,-336.501,84.236,2.000
74035.639,297.542,42.534,13.769,-336.550,84.247,2.000
74031.608,297.547,42.376,13.929,-336.501,84.215,2.000
74039.671,297.545,42.455,13.448,-336.533,84.236,2.000
74039.671,297.545,42.455,13.769,-336.533,84.236,2.000
74035.639,297.545,42.534,13.609,-336.517,84.226,2.000
74043.702,297.544,42.534,13.609,-336.533,84.215,2.000
74043.702,297.545,42.534,13.769,-336.533,84.204,2.000
74035.639,297.542,42.613,13.448,-336.517,84.226,2.000
74039.671,297.545,42.613,13.448,-336.517,84.215,2.000
74035.639,297.547,42.534,13.609,-336.533,84.226,2.000
74039.671,297.545,42.534,13.288,-336.550,84.215,2.000
74039.671,297.545,42.613,13.288,-336.517,84.204,2.000
74035.639,297.545,42.771,13.288,-336.533,84.215,2.000
74039.671,297.545,42.692,13.288,-336.501,84.226,2.000
74035.639,297.547,42.613,13.448,-336.517,84.226,2.000
74039.671,297.545,42.692,13.448,-336.550,84.204,2.000
74043.702,297.545,42.771,13.448,-336.517,84.226,2.000
74043.702,297.547,42.534,13.609,-336.533,84.215,2.000
74047.734,297.548,42.850,13.609,-336.550,84.215,2.000
74043.702,297.548,42.692,13.609,-336.517,84.236,2.000
74039.671,297.550,42.771,13.929,-336.533,84.204,2.000
74035.639,297.550,42.771,13.769,-336.533,84.215,2.000
74043.702,297.548,42.771,13.769,-336.533,84.226,2.000
74051.765,297.550,42.850,13.769,-336.517,84.226,2.000
74039.671,297.550,42.850,13.929,-336.533,84.236,2.000
74039.671,297.553,42.613,13.929,-336.550,84.226,2.000
74035.639,297.550,42.771,13.929,-336.533,84.236,2.000
74035.639,297.552,42.771,14.089,-336.533,84.215,2.000
74035.639,297.552,42.771,13.929,-336.517,84.215,2.000
74031.608,297.552,42.771,14.249,-336.533,84.247,2.000
74039.671,297.555,42.771,14.249,-336.533,84.226,2.000
74039.671,297.552,42.692,14.089,-336.533,84.204,2.000
74039.671,297.552,42.929,14.089,-336.550,84.226,2.000
74035.639,297.552,42.929,14.409,-336.517,84.215,2.000
74039.671,297.550,42.929,14.249,-336.517,84.226,2.000
74035.639,297.553,42.929,14.249,-336.517,84.215,2.000
74039.671,297.552,42.929,14.569,-336.533,84.226,2.000
74031.608,297.552,43.008,14.249,-336.550,84.226,2.000
74039.671,297.552,42.850,14.409,-336.517,84.226,2.000
74039.671,297.550,43.087,14.249,-336.533,84.226,2.000
74039.671,297.553,42.929,14.409,-336.550,84.215,2.000
74039.671,297.550,42.850,14.409,-336.517,84.215,2.000
74039.671,297.552,43.008,14.569,-336.517,84.226,2.000
74039.671,297.553,43.008,14.569,-336.533,84.204,2.000
74039.671,297.553,42.929,14.569,-336.533,84.226,2.000
74047.734,297.552,43.008,14.409,-336.517,84.215,2.000
74047.734,297.550,43.008,14.569,-336.566,84.215,2.000
74039.671,297.552,43.087,14.249,-336.550,84.236,2.000
74043.702,297.552,43.166,14.409,-336.517,84.247,2.000
74039.671,297.550,43.087,14.409,-336.533,84.215,2.000
74043.702,297.550,43.245,14.409,-336.517,84.236,2.000
74047.734,297.550,43.324,14.409,-336.550,84.226,2.000
74047.734,297.547,43.087,13.929,-336.533,84.226,2.000
74051.765,297.550,43.166,13.929,-336.566,84.215,2.000
74047.734,297.547,43.166,13.929,-336.533,84.236,2.000
74051.765,297.550,43.087,14.089,-336.566,84.226,2.000
74039.671,297.550,43.087,13.609,-336.533,84.236,2.000
74047.734,297.550,43.245,13.929,-336.566,84.226,2.000
74051.765,297.548,43.087,13.769,-336.533,84.215,2.000
74051.765,297.550,43.008,13.929,-336.533,84.226,2.000
74051.765,297.548,43.166,13.769,-336.517,84.204,2.000
74051.765,297.548,43.087,13.609,-336.517,84.215,2.000
74051.765,297.552,43.087,13.448,-336.533,84.226,2.000
74043.702,297.548,43.166,13.609,-336.550,84.236,2.000
74047.734,297.547,43.166,13.448,-336.533,84.215,2.000
74047.734,297.548,43.166,13.609,-336.517,84.204,2.000
74043.702,297.548,43.008,13.609,-336.501,84.226,2.000
74051.765,297.548,43.087,13.448,-336.517,84.226,2.000
74043.702,297.550,43.087,13.448,-336.484,84.226,2.000
74047.734,297.547,43.008,13.448,-336.533,84.236,2.000
74043.702,297.550,42.929,13.448,-336.533,84.226,2.000
74043.702,297.548,43.008,13.288,-336.550,84.215,2.000
74051.765,297.548,42.929,13.448,-336.550,84.204,2.000
74043.702,297.547,42.929,13.288,-336.517,84.226,2.000
74043.702,297.550,43.008,13.288,-336.533,84.226,2.000
74043.702,297.548,42.929,13.128,-336.533,84.215,2.000
74039.671,297.547,42.771,13.288,-336.566,84.204,2.000
74035.639,297.548,42.929,13.448,-336.533,84.204,2.000
74043.702,297.547,42.771,13.288,-336.501,84.204,2.000
74035.639,297.547,42.771,13.609,-336.533,84.236,2.000
74039.671,297.545,42.850,13.288,-336.550,84.215,2.000
74039.671,297.548,42.850,13.128,-336.533,84.226,2.000
74043.702,297.548,42.850,13.448,-336.533,84.226,2.000
74035.639,297.542,42.771,13.448,-336.533,84.215,2.000
74027.577,297.548,42.771,13.609,-336.501,84.226,2.000
74031.608,297.545,42.929,13.609,-336.550,84.226,2.000
74035.639,297.545,42.850,13.609,-336.533,84.226,2.000
74031.608,297.547,43.008,13.288,-336.501,84.215,2.000
74031.608,297.547,42.850,13.128,-336.517,84.226,2.000
74031.608,297.547,42.771,13.288,-336.517,84.226,2.000
74035.639,297.548,42.929,13.448,-336.566,84.226,2.000
74031.608,297.548,42.771,13.609,-336.533,84.215,2.000
74027.577,297.548,42.850,13.448,-336.517,84.226,2.000
74031.608,297.547,42.850,13.769,-336.550,84.236,2.000
74031.608,297.545,42.850,13.448,-336.533,84.226,2.000
74023.545,297.547,42.929,13.448,-336.533,84.236,2.000
74035.639,297.547,43.008,13.288,-336.533,84.247,2.000
74031.608,297.547,42.771,13.448,-336.533,84.215,2.000
74027.577,297.548,42.929,13.448,-336.566,84.226,2.000
74027.577,297.548,42.929,12.968,-336.533,84.226,2.000
74031.608,297.548,42.771,13.288,-336.533,84.226,2.000
74027.577,297.548,42.850,13.288,-336.517,84.215,2.000
74031.608,297.550,42.850,13.128,-336.533,84.215,2.000
74019.514,297.547,42.929,12.968,-336.550,84.226,2.000
74031.608,297.550,42.929,12.968,-336.533,84.226,2.000
74027.577,297.552,42.929,12.808,-336.533,84.215,2.000
74027.577,297.552,43.008,12.808,-336.533,84.226,2.000
74031.608,297.550,43.008,12.808,-336.550,84.226,2.000
74035.639,297.553,42.850,12.808,-336.501,84.226,2.000
74031.608,297.553,42.929,12.808,-336.566,84.215,2.000
74031.608,297.552,42.771,12.648,-336.550,84.226,2.000
74031.608,297.552,42.692,12.808,-336.533,84.236,2.000
74031.608,297.552,42.692,12.648,-336.533,84.204,2.000
74035.639,297.552,42.692,12.648,-336.533,84.226,2.000
74035.639,297.553,42.850,12.968,-336.550,84.247,2.000
74027.577,297.550,42.692,12.808,-336.566,84.236,2.000
74031.608,297.553,42.850,12.808,-336.533,84.226,2.000
74035.639,297.553,42.850,12.968,-336.550,84.215,2.000
74031.608,297.553,42.771,13.128,-336.550,84.226,2.000
74039.671,297.555,42.850,12.968,-336.550,84.204,2.000
74039.671,297.553,42.850,12.808,-336.533,84.236,2.000
74043.702,297.553,42.771,13.288,-336.517,84.226,2.000
74039.671,297.553,42.850,13.128,-336.550,84.215,2.000
74039.671,297.556,42.850,12.808,-336.550,84.226,2.000
74043.702,297.553,42.850,13.128,-336.533,84.236,2.000
74043.702,297.553,42.771,13.288,-336.533,84.236,2.000
74043.702,297.555,42.929,13.128,-336.533,84.215,2.000
74039.671,297.556,42.850,13.448,-336.517,84.215,2.000
74047.734,297.558,42.771,13.288,-336.550,84.226,2.000
74035.639,297.556,42.850,13.448,-336.533,84.215,2.000
74043.702,297.556,42.850,13.448,-336.517,84.226,2.000
74043.702,297.552,42.850,13.609,-336.517,84.215,2.000
74047.734,297.553,42.929,13.769,-336.566,84.215,2.000
74047.734,297.553,42.771,13.769,-336.533,84.204,2.000
74043.702,297.553,42.929,13.929,-336.517,84.226,2.000
74043.702,297.550,42.771,13.609,-336.533,84.215,2.000
74039.671,297.550,42.929,13.609,-336.550,84.215,2.000
74039.671,297.547,43.008,13.609,-336.533,84.215,2.000
74039.671,297.552,42.929,13.769,-336.533,84.226,2.000
74039.671,297.552,42.850,13.609,-336.533,84.215,2.000
