%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
72721.414,297.065,353.553,131.310,-0.007,0.011,5.000
72717.383,297.066,353.474,131.470,-0.007,-0.021,5.000
72713.351,297.063,353.553,130.989,-0.007,0.001,5.000
72725.445,297.065,353.474,131.310,-0.007,-0.010,5.000
72713.351,297.065,353.395,130.829,0.025,0.001,5.000
72725.445,297.065,353.474,131.149,-0.007,-0.010,5.000
72717.383,297.061,353.711,131.149,0.009,0.001,5.000
72717.383,297.065,353.474,131.310,-0.024,0.011,5.000
72725.445,297.063,353.553,131.470,0.009,0.011,5.000
72717.383,297.063,353.316,131.470,0.025,0.001,5.000
72717.383,297.065,353.316,131.310,0.009,0.001,5.000
72725.445,297.061,353.553,131.470,-0.007,0.011,5.000
72713.351,297.065,353.395,131.470,-0.007,0.001,5.000
72713.351,297.061,353.316,131.470,0.009,0.001,5.000
72717.383,297.063,353.474,131.950,0.009,0.011,5.000
72717.383,297.063,353.474,131.950,-0.007,0.001,5.000
72717.383,297.063,353.395,131.950,-0.040,0.011,5.000
72717.383,297.063,353.474,132.110,-0.007,0.001,5.000
72717.383,297.066,353.474,132.430,0.025,0.001,5.000
72721.414,297.063,353.395,132.430,0.009,0.011,5.000
72717.383,297.061,353.316,132.750,-0.007,0.001,5.000
72721.414,297.065,353.316,132.750,-0.007,0.001,5.000
72717.383,297.065,353.316,132.910,0.009,0.011,5.000
72717.383,297.063,353.237,132.910,-0.007,0.011,5.000
72717.383,297.063,353.474,133.231,0.009,0.001,5.000
72721.414,297.063,353.395,133.231,-0.007,0.001,5.000
72725.445,297.063,353.474,133.391,-0.024,0.011,5.000
72721.414,297.063,353.395,133.551,0.009,-0.010,5.000
72713.351,297.065,353.474,133.711,0.025,0.011,5.000
72713.351,297.063,353.474,133.871,-0.040,0.001,5.000
72721.414,297.061,353.474,133.711,0.009,0.001,5.000
72717.383,297.063,353.553,134.031,0.009,0.001,5.000
72713.351,297.063,353.395,134.191,0.009,-0.010,5.000
72717.383,297.061,353.632,134.351,-0.024,0.001,5.000
72713.351,297.063,353.553,134.351,0.009,0.001,5.000
72713.351,297.063,353.395,134.191,0.009,0.001,5.000
72717.383,297.063,353.553,134.511,0.009,-0.010,5.000
72713.351,297.065,353.553,134.672,0.009,0.022,5.000
72713.351,297.066,353.395,134.672,-0.007,0.001,5.000
72717.383,297.065,353.553,134.672,0.009,-0.010,5.000
