%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74031.608,297.145,8.643,8.930,-311.711,60.491,1.000
74031.608,297.144,8.880,8.770,-311.711,60.469,1.000
74039.671,297.147,8.959,9.090,-311.711,60.480,1.000
74039.671,297.148,8.959,9.090,-311.679,60.458,1.000
74043.702,297.150,8.959,9.090,-311.711,60.448,1.000
74043.702,297.148,8.959,8.930,-311.679,60.458,1.000
74039.671,297.147,8.880,9.090,-311.711,60.458,1.000
74039.671,297.147,8.959,9.410,-311.711,60.448,1.000
74043.702,297.147,9.038,9.250,-311.662,60.480,1.000
74043.702,297.147,9.038,9.090,-311.711,60.480,1.000
74043.702,297.147,9.038,9.250,-311.711,60.480,1.000
74043.702,297.148,9.196,9.410,-311.728,60.480,1.000
74043.702,297.147,9.275,9.410,-311.711,60.480,1.000
74047.734,297.148,9.275,9.250,-311.695,60.469,1.000
74043.702,297.150,9.354,9.570,-311.711,60.458,1.000
74035.639,297.148,9.196,9.250,-311.679,60.480,1.000
74043.702,297.145,9.196,9.090,-311.728,60.469,1.000
74043.702,297.145,9.275,9.090,-311.711,60.458,1.000
74047.734,297.150,9.275,9.410,-311.711,60.469,1.000
74047.734,297.147,9.275,9.250,-311.711,60.469,1.000
74043.702,297.147,9.196,9.250,-311.711,60.469,1.000
74039.671,297.144,9.275,9.090,-311.695,60.458,1.000
74039.671,297.144,9.275,8.930,-311.711,60.458,1.000
74043.702,297.144,9.275,9.090,-311.728,60.469,1.000
74039.671,297.145,9.196,8.770,-311.711,60.469,1.000
74047.734,297.145,9.275,9.250,-311.695,60.458,1.000
74035.639,297.144,9.196,8.770,-311.695,60.480,1.000
74043.702,297.145,9.117,8.610,-311.711,60.480,1.000
74039.671,297.142,9.038,9.090,-311.711,60.480,1.000
74039.671,297.144,9.275,9.250,-311.711,60.458,1.000
74035.639,297.147,8.959,8.770,-311.711,60.458,1.000
74035.639,297.145,8.880,8.770,-311.711,60.469,1.000
74039.671,297.142,9.038,8.770,-311.695,60.469,1.000
74027.577,297.144,8.880,8.450,-311.695,60.458,1.000
74031.608,297.142,8.959,8.770,-311.711,60.469,1.000
74035.639,297.144,8.880,8.930,-311.695,60.458,1.000
74031.608,297.140,8.959,8.450,-311.695,60.469,1.000
74023.545,297.142,8.801,8.450,-311.711,60.469,1.000
74031.608,297.145,8.722,8.610,-311.728,60.458,1.000
74027.577,297.144,8.643,8.610,-311.662,60.469,1.000
74031.608,297.145,8.880,8.610,-311.728,60.480,1.000
74027.577,297.144,8.801,8.450,-311.711,60.480,1.000
74027.577,297.145,8.643,8.610,-311.711,60.448,1.000
74035.639,297.144,8.880,8.610,-311.711,60.469,1.000
74035.639,297.145,8.880,8.610,-311.695,60.458,1.000
74031.608,297.144,8.880,8.610,-311.711,60.491,1.000
74027.577,297.147,8.880,8.930,-311.695,60.458,1.000
74039.671,297.150,8.880,9.090,-311.679,60.469,1.000
74039.671,297.147,8.722,8.770,-311.679,60.469,1.000
74035.639,297.147,8.880,9.410,-311.728,60.491,1.000
74039.671,297.147,8.880,9.090,-311.728,60.480,1.000
74039.671,297.148,8.959,8.770,-311.695,60.469,1.000
74047.734,297.147,9.038,8.930,-311.711,60.469,1.000
74047.734,297.147,8.959,9.090,-311.711,60.480,1.000
74043.702,297.148,9.038,8.930,-311.711,60.458,1.000
74043.702,297.150,9.196,9.250,-311.711,60.480,1.000
74043.702,297.153,8.959,9.090,-311.711,60.458,1.000
74039.671,297.152,9.196,9.250,-311.711,60.458,1.000
74047.734,297.153,9.196,9.410,-311.695,60.480,1.000
74039.671,297.152,9.275,9.250,-311.679,60.480,1.000
74043.702,297.152,9.275,9.250,-311.711,60.469,1.000
74047.734,297.150,9.275,9.250,-311.711,60.458,1.000
74055.796,297.152,9.275,9.250,-311.728,60.458,1.000
74043.702,297.150,9.275,9.250,-311.679,60.469,1.000
74051.765,297.152,9.275,9.250,-311.695,60.469,1.000
74051.765,297.152,9.275,9.410,-311.728,60.469,1.000
74051.765,297.153,9.354,9.250,-311.711,60.469,1.000
74047.734,297.150,9.275,9.250,-311.711,60.480,1.000
74051.765,297.150,9.354,9.090,-311.679,60.469,1.000
74051.765,297.152,9.354,9.410,-311.695,60.458,1.000
74047.734,297.148,9.433,9.090,-311.679,60.469,1.000
74039.671,297.150,9.354,9.090,-311.695,60.458,1.000
74047.734,297.150,9.354,9.250,-311.728,60.491,1.000
74043.702,297.147,9.275,9.090,-311.695,60.469,1.000
74043.702,297.150,9.196,9.250,-311.695,60.458,1.000
74043.702,297.150,9.196,9.090,-311.711,60.480,1.000
74035.639,297.147,9.196,9.410,-311.728,60.469,1.000
74047.734,297.147,9.117,8.930,-311.679,60.469,1.000
74039.671,297.147,9.196,8.930,-311.679,60.491,1.000
74039.671,297.148,9.196,8.770,-311.728,60.480,1.000
74039.671,297.147,9.117,8.770,-311.728,60.458,1.000
74035.639,297.144,9.196,8.930,-311.695,60.469,1.000
74031.608,297.147,9.117,8.930,-311.695,60.469,1.000
74035.639,297.147,9.038,8.770,-311.695,60.469,1.000
74027.577,297.145,9.038,8.610,-311.679,60.469,1.000
74031.608,297.145,8.959,8.770,-311.711,60.458,1.000
74027.577,297.144,8.880,8.930,-311.711,60.458,1.000
74031.608,297.147,8.880,8.450,-311.695,60.448,1.000
74027.577,297.145,8.880,8.770,-311.728,60.448,1.000
74027.577,297.142,8.959,8.770,-311.695,60.469,1.000
74023.545,297.145,9.038,8.930,-311.695,60.480,1.000
74023.545,297.145,8.801,8.930,-311.695,60.458,1.000
74031.608,297.145,8.959,8.770,-311.711,60.469,1.000
74031.608,297.147,8.880,8.610,-311.695,60.437,1.000
74027.577,297.145,9.038,8.770,-311.711,60.469,1.000
74035.639,297.147,8.959,8.770,-311.695,60.480,1.000
74035.639,297.148,9.038,9.090,-311.695,60.469,1.000
74035.639,297.152,9.038,9.090,-311.662,60.458,1.000
74031.608,297.152,9.117,8.770,-311.711,60.469,1.000
74039.671,297.153,9.117,8.930,-311.711,60.480,1.000
74039.671,297.150,9.038,9.250,-311.728,60.469,1.000
74039.671,297.152,9.196,9.250,-311.695,60.458,1.000
74039.671,297.153,9.196,9.730,-311.679,60.469,1.000
74043.702,297.152,9.196,9.090,-311.711,60.480,1.000
74051.765,297.153,9.117,9.410,-311.711,60.480,1.000
74043.702,297.153,9.275,9.250,-311.662,60.458,1.000
74043.702,297.152,9.275,9.570,-311.728,60.469,1.000
74047.734,297.153,9.433,9.570,-311.695,60.480,1.000
74051.765,297.152,9.433,9.410,-311.711,60.480,1.000
74051.765,297.153,9.275,9.730,-311.695,60.448,1.000
74051.765,297.153,9.433,9.410,-311.711,60.458,1.000
74047.734,297.152,9.433,9.570,-311.695,60.458,1.000
74051.765,297.153,9.433,9.410,-311.679,60.469,1.000
74051.765,297.152,9.433,9.570,-311.711,60.458,1.000
74055.796,297.150,9.512,8.930,-311.679,60.458,1.000
74055.796,297.148,9.512,9.410,-311.695,60.480,1.000
74051.765,297.150,9.512,9.410,-311.695,60.458,1.000
74055.796,297.148,9.433,9.090,-311.711,60.469,1.000
74051.765,297.147,9.512,9.250,-311.695,60.480,1.000
74047.734,297.147,9.512,9.410,-311.695,60.469,1.000
74051.765,297.148,9.512,9.410,-311.711,60.458,1.000
74055.796,297.148,9.433,9.410,-311.695,60.480,1.000
74055.796,297.145,9.354,9.250,-311.711,60.448,1.000
74047.734,297.147,9.354,9.250,-311.695,60.469,1.000
74051.765,297.144,9.354,9.090,-311.711,60.469,1.000
74047.734,297.147,9.117,8.770,-311.679,60.458,1.000
74055.796,297.145,9.275,9.090,-311.695,60.480,1.000
74051.765,297.142,9.275,8.930,-311.695,60.469,1.000
74047.734,297.145,9.196,8.770,-311.728,60.469,1.000
74047.734,297.145,9.038,8.450,-311.711,60.480,1.000
74047.734,297.145,9.038,8.930,-311.711,60.480,1.000
74047.734,297.147,9.038,8.770,-311.728,60.458,1.000
74047.734,297.147,9.117,8.450,-311.711,60.458,1.000
74043.702,297.145,9.117,8.930,-311.679,60.469,1.000
74047.734,297.144,9.038,8.610,-311.695,60.448,1.000
74051.765,297.144,9.275,8.930,-311.695,60.448,1.000
74047.734,297.147,9.038,8.930,-311.695,60.480,1.000
74043.702,297.148,9.117,8.770,-311.711,60.480,1.000
74047.734,297.147,9.196,8.770,-311.711,60.469,1.000
74043.702,297.150,9.117,8.610,-311.679,60.480,1.000
74043.702,297.148,9.038,8.770,-311.711,60.480,1.000
74039.671,297.148,9.117,8.930,-311.711,60.458,1.000
74043.702,297.150,9.117,9.250,-311.711,60.469,1.000
74051.765,297.150,9.275,9.090,-311.695,60.458,1.000
74047.734,297.152,9.196,8.930,-311.695,60.458,1.000
74047.734,297.152,9.196,8.770,-311.728,60.469,1.000
74055.796,297.152,9.196,9.090,-311.679,60.469,1.000
74043.702,297.150,9.117,8.930,-311.711,60.480,1.000
74047.734,297.153,9.354,8.930,-311.711,60.458,1.000
74051.765,297.152,9.196,9.090,-311.711,60.458,1.000
74051.765,297.153,9.196,9.410,-311.711,60.458,1.000
74051.765,297.152,9.117,9.090,-311.711,60.458,1.000
74059.828,297.153,9.196,9.250,-311.695,60.469,1.000
74055.796,297.152,9.117,9.410,-311.695,60.469,1.000
74051.765,297.150,9.196,9.410,-311.711,60.469,1.000
74051.765,297.155,9.354,9.410,-311.711,60.480,1.000
74059.828,297.155,9.354,9.570,-311.728,60.480,1.000
74055.796,297.153,9.196,9.250,-311.711,60.469,1.000
