%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
74007.42,297.455,8.905,8.993,-312.266,60.458,1
74011.451,297.455,8.826,8.993,-312.283,60.448,1
74007.42,297.453,8.747,9.153,-312.283,60.469,1
74007.42,297.452,8.826,8.993,-312.299,60.458,1
74011.451,297.453,8.826,9.153,-312.266,60.448,1
74015.483,297.45,8.905,9.153,-312.283,60.48,1
74015.483,297.452,8.826,9.313,-312.25,60.469,1
74011.451,297.453,8.747,9.153,-312.315,60.48,1
74019.514,297.452,8.826,8.993,-312.283,60.469,1
74019.514,297.455,8.984,9.153,-312.266,60.469,1
74015.483,297.453,8.984,9.313,-312.299,60.48,1
74015.483,297.453,8.984,8.833,-312.266,60.469,1
74015.483,297.452,8.905,8.833,-312.283,60.458,1
74007.42,297.453,8.905,8.993,-312.283,60.48,1
74011.451,297.455,8.984,8.833,-312.299,60.48,1
74019.514,297.452,8.826,8.993,-312.266,60.458,1
74023.545,297.453,8.984,8.993,-312.283,60.48,1
74023.545,297.453,8.826,8.993,-312.266,60.48,1
74023.545,297.455,8.905,9.153,-312.266,60.469,1
74023.545,297.455,8.747,8.993,-312.266,60.448,1
74023.545,297.456,8.826,8.833,-312.283,60.469,1
74023.545,297.452,8.747,8.673,-312.283,60.458,1
74023.545,297.452,8.747,8.833,-312.299,60.48,1
74031.608,297.455,8.668,8.833,-312.25,60.469,1
74031.608,297.456,8.905,8.993,-312.283,60.469,1
74027.577,297.456,8.747,8.673,-312.283,60.48,1
74031.608,297.455,8.747,9.153,-312.299,60.458,1
74019.514,297.455,8.668,8.833,-312.283,60.469,1
74027.577,297.456,8.747,8.993,-312.299,60.458,1
74023.545,297.456,8.826,8.512,-312.266,60.48,1
74023.545,297.46,8.747,9.153,-312.283,60.48,1
74027.577,297.458,8.668,8.993,-312.283,60.469,1
74027.577,297.456,8.826,8.993,-312.299,60.491,1
74019.514,297.456,8.826,8.512,-312.25,60.469,1
74027.577,297.456,8.747,8.993,-312.266,60.458,1
74023.545,297.456,8.747,9.153,-312.266,60.48,1
74019.514,297.46,8.668,8.993,-312.299,60.469,1
74023.545,297.46,8.668,8.993,-312.299,60.48,1
74019.514,297.46,8.431,9.473,-312.283,60.469,1
74019.514,297.455,8.668,8.833,-312.283,60.48,1
74019.514,297.458,8.589,9.153,-312.283,60.48,1
74019.514,297.458,8.51,9.153,-312.299,60.469,1
74015.483,297.458,8.589,8.993,-312.283,60.469,1
74019.514,297.46,8.747,9.313,-312.283,60.469,1
74015.483,297.456,8.668,9.153,-312.283,60.48,1
74011.451,297.458,8.589,8.993,-312.283,60.458,1
74011.451,297.456,8.589,9.313,-312.283,60.469,1
74015.483,297.458,8.589,8.993,-312.283,60.48,1
74011.451,297.456,8.747,8.993,-312.283,60.469,1
74007.42,297.453,8.747,8.833,-312.315,60.469,1
74003.388,297.453,8.589,9.153,-312.315,60.48,1
74003.388,297.453,8.668,8.833,-312.283,60.469,1
74003.388,297.456,8.589,9.153,-312.283,60.469,1
74007.42,297.456,8.747,8.993,-312.283,60.469,1
73999.357,297.455,8.668,9.153,-312.266,60.469,1
74003.388,297.455,8.747,8.833,-312.283,60.469,1
74007.42,297.452,8.747,8.673,-312.283,60.469,1
74003.388,297.455,8.747,8.833,-312.299,60.458,1
74003.388,297.452,8.747,8.512,-312.283,60.458,1
74003.388,297.455,8.826,8.833,-312.266,60.469,1
73999.357,297.458,8.747,8.673,-312.25,60.469,1
74003.388,297.452,8.826,8.833,-312.283,60.48,1
74015.483,297.453,8.826,8.673,-312.283,60.458,1
74007.42,297.455,8.826,8.833,-312.283,60.458,1
74007.42,297.453,8.668,8.673,-312.266,60.469,1
74011.451,297.455,8.905,8.833,-312.283,60.469,1
74007.42,297.46,8.905,8.833,-312.299,60.469,1
74015.483,297.456,8.905,9.153,-312.283,60.48,1
74019.514,297.458,8.984,8.993,-312.25,60.458,1
74015.483,297.46,8.905,9.153,-312.283,60.491,1
74019.514,297.458,8.905,8.993,-312.266,60.437,1
74023.545,297.46,8.905,9.153,-312.299,60.469,1
74023.545,297.456,8.905,9.153,-312.266,60.448,1
74015.483,297.46,8.826,8.993,-312.299,60.458,1
74023.545,297.458,8.905,8.833,-312.283,60.458,1
74035.639,297.461,8.747,9.153,-312.266,60.448,1
74019.514,297.458,8.747,9.313,-312.266,60.469,1
74023.545,297.46,8.747,8.833,-312.25,60.458,1
74027.577,297.461,8.826,9.153,-312.315,60.48,1
74023.545,297.461,8.905,8.993,-312.266,60.469,1
74031.608,297.46,8.747,9.313,-312.283,60.469,1
74023.545,297.461,8.747,9.313,-312.299,60.458,1
74027.577,297.461,8.826,9.153,-312.299,60.458,1
74023.545,297.458,8.589,8.993,-312.266,60.48,1
74023.545,297.461,8.668,9.153,-312.283,60.469,1
74019.514,297.463,8.668,8.993,-312.283,60.469,1
74023.545,297.461,8.668,9.473,-312.266,60.469,1
74019.514,297.46,8.668,9.313,-312.299,60.458,1
74023.545,297.46,8.905,9.313,-312.299,60.469,1
74023.545,297.461,8.747,9.153,-312.25,60.48,1
74019.514,297.456,8.668,9.153,-312.266,60.469,1
74015.483,297.461,8.668,8.993,-312.283,60.458,1
74015.483,297.458,8.589,9.153,-312.283,60.48,1
74015.483,297.46,8.51,8.993,-312.266,60.458,1
74019.514,297.458,8.589,9.153,-312.299,60.469,1
74015.483,297.458,8.747,8.993,-312.299,60.458,1
74019.514,297.46,8.668,8.993,-312.25,60.458,1
74015.483,297.461,8.747,9.153,-312.283,60.48,1
74007.42,297.46,8.668,8.993,-312.299,60.48,1
74015.483,297.456,8.905,9.153,-312.283,60.469,1
74011.451,297.458,8.668,8.993,-312.283,60.437,1
74011.451,297.46,8.668,8.993,-312.299,60.469,1
74019.514,297.455,8.589,8.833,-312.299,60.448,1
74011.451,297.456,8.51,9.313,-312.283,60.48,1
74015.483,297.456,8.668,8.993,-312.266,60.458,1
74011.451,297.456,8.51,8.993,-312.283,60.469,1
74011.451,297.456,8.589,8.833,-312.283,60.448,1
74015.483,297.458,8.668,8.993,-312.25,60.48,1
74011.451,297.456,8.589,9.153,-312.25,60.469,1
74007.42,297.455,8.668,8.993,-312.315,60.448,1
74007.42,297.455,8.668,8.833,-312.283,60.458,1
74019.514,297.458,8.668,8.673,-312.266,60.458,1
74011.451,297.456,8.747,8.993,-312.283,60.469,1
74011.451,297.456,8.747,9.153,-312.25,60.469,1
74011.451,297.455,8.51,9.153,-312.299,60.469,1
74015.483,297.453,8.589,8.833,-312.283,60.469,1
74015.483,297.453,8.747,8.833,-312.283,60.458,1
74015.483,297.455,8.51,8.833,-312.266,60.469,1
74019.514,297.453,8.668,8.512,-312.283,60.458,1
74023.545,297.455,8.668,8.833,-312.315,60.48,1
74019.514,297.456,8.668,8.673,-312.283,60.458,1
74023.545,297.453,8.668,8.993,-312.266,60.469,1
74019.514,297.455,8.589,8.993,-312.299,60.448,1
74019.514,297.455,8.747,8.993,-312.283,60.448,1
74027.577,297.455,8.51,8.993,-312.266,60.48,1
74023.545,297.456,8.589,8.993,-312.283,60.458,1
74023.545,297.455,8.668,8.833,-312.266,60.491,1
74027.577,297.455,8.668,8.993,-312.315,60.48,1
74035.639,297.456,8.589,8.993,-312.266,60.469,1
74031.608,297.453,8.668,8.993,-312.266,60.48,1
74027.577,297.455,8.51,8.833,-312.283,60.458,1
74027.577,297.456,8.51,8.833,-312.283,60.469,1
74027.577,297.458,8.589,8.833,-312.283,60.48,1
74031.608,297.458,8.589,8.833,-312.299,60.469,1
74019.514,297.456,8.668,8.993,-312.283,60.458,1
74023.545,297.455,8.589,9.153,-312.25,60.48,1
74023.545,297.455,8.431,8.993,-312.266,60.458,1
74023.545,297.453,8.51,8.993,-312.299,60.458,1
74023.545,297.458,8.668,8.833,-312.266,60.48,1
74019.514,297.455,8.589,8.673,-312.283,60.469,1
74023.545,297.458,8.668,8.833,-312.283,60.48,1
74023.545,297.46,8.51,8.993,-312.283,60.469,1
74019.514,297.456,8.51,8.833,-312.299,60.469,1
74019.514,297.456,8.431,8.512,-312.283,60.48,1
74011.451,297.458,8.431,8.833,-312.266,60.469,1
74011.451,297.455,8.431,9.153,-312.299,60.469,1
74007.42,297.456,8.51,8.993,-312.299,60.469,1
74011.451,297.455,8.431,8.833,-312.283,60.458,1
74007.42,297.453,8.431,8.673,-312.299,60.458,1
74011.451,297.455,8.431,8.512,-312.283,60.458,1
74011.451,297.458,8.51,8.993,-312.266,60.469,1
74003.388,297.456,8.589,8.673,-312.266,60.48,1
74007.42,297.453,8.589,8.993,-312.266,60.48,1
74011.451,297.456,8.51,8.833,-312.299,60.448,1
74011.451,297.456,8.668,8.673,-312.315,60.469,1
74011.451,297.453,8.431,8.673,-312.283,60.469,1
74011.451,297.458,8.51,8.673,-312.299,60.48,1
74003.388,297.452,8.51,8.512,-312.283,60.469,1
74011.451,297.452,8.51,8.673,-312.299,60.458,1
74003.388,297.455,8.431,8.512,-312.266,60.48,1
74007.42,297.455,8.51,8.833,-312.266,60.48,1
74003.388,297.455,8.589,8.512,-312.266,60.469,1
74007.42,297.453,8.51,8.833,-312.283,60.469,1
74007.42,297.455,8.589,8.512,-312.25,60.491,1
74007.42,297.452,8.51,8.673,-312.266,60.469,1
74003.388,297.452,8.668,8.512,-312.283,60.458,1
74011.451,297.455,8.589,8.833,-312.283,60.458,1
74007.42,297.452,8.431,8.512,-312.25,60.437,1
74011.451,297.452,8.51,8.833,-312.283,60.469,1
74011.451,297.453,8.589,8.512,-312.266,60.469,1
74007.42,297.448,8.51,8.512,-312.299,60.469,1
74015.483,297.448,8.589,8.352,-312.266,60.469,1
74015.483,297.448,8.51,8.512,-312.266,60.48,1
74015.483,297.45,8.589,8.512,-312.283,60.469,1
74019.514,297.448,8.51,8.512,-312.299,60.48,1
74015.483,297.452,8.51,8.352,-312.283,60.469,1
74019.514,297.448,8.51,8.352,-312.299,60.448,1
74023.545,297.45,8.431,8.512,-312.299,60.491,1
74015.483,297.448,8.352,8.512,-312.266,60.469,1
74023.545,297.448,8.431,8.192,-312.283,60.458,1
74023.545,297.448,8.352,8.512,-312.299,60.469,1
74019.514,297.45,8.431,8.512,-312.283,60.48,1
74023.545,297.453,8.51,8.352,-312.299,60.48,1
74019.514,297.452,8.431,8.993,-312.266,60.469,1
74031.608,297.448,8.431,8.673,-312.266,60.458,1
74031.608,297.452,8.51,8.512,-312.25,60.458,1
74023.545,297.45,8.273,8.833,-312.283,60.458,1
74027.577,297.452,8.51,8.833,-312.266,60.458,1
74031.608,297.452,8.352,8.512,-312.299,60.48,1
74027.577,297.455,8.431,8.993,-312.283,60.48,1
74027.577,297.452,8.431,8.673,-312.283,60.48,1
74023.545,297.453,8.352,8.833,-312.266,60.469,1
74027.577,297.45,8.51,8.673,-312.283,60.458,1
74027.577,297.455,8.431,8.673,-312.299,60.469,1
74023.545,297.452,8.431,8.833,-312.283,60.458,1
74031.608,297.455,8.431,8.993,-312.283,60.458,1
74031.608,297.455,8.51,9.153,-312.25,60.469,1
74023.545,297.453,8.589,8.833,-312.299,60.469,1
74015.483,297.453,8.589,9.153,-312.299,60.48,1
74023.545,297.452,8.431,8.833,-312.283,60.469,1
74023.545,297.45,8.51,8.993,-312.315,60.469,1
74015.483,297.452,8.589,8.833,-312.315,60.48,1
74019.514,297.455,8.51,8.833,-312.266,60.469,1
74015.483,297.453,8.589,8.993,-312.283,60.448,1
74015.483,297.453,8.747,8.833,-312.283,60.469,1
74011.451,297.455,8.668,8.673,-312.299,60.458,1
74015.483,297.452,8.668,8.993,-312.299,60.458,1
74011.451,297.455,8.747,8.833,-312.25,60.448,1
74015.483,297.453,8.668,8.993,-312.299,60.469,1
74011.451,297.455,8.668,8.833,-312.266,60.458,1
74015.483,297.453,8.747,8.993,-312.299,60.469,1
74015.483,297.453,8.747,8.833,-312.299,60.48,1
74011.451,297.453,8.826,8.833,-312.299,60.469,1
74011.451,297.453,8.826,8.833,-312.283,60.469,1
74015.483,297.455,8.826,8.993,-312.299,60.48,1
74011.451,297.453,8.826,8.993,-312.283,60.458,1
74011.451,297.452,8.905,8.673,-312.283,60.458,1
74011.451,297.45,8.826,8.673,-312.283,60.469,1
74019.514,297.456,8.905,8.673,-312.266,60.448,1
74015.483,297.455,8.905,8.993,-312.266,60.469,1
74019.514,297.456,8.826,8.833,-312.266,60.469,1
