NetThrust,Total,Design,Pull Thrust
2017.47260529032,4690.11381895495,7035.17072843242,3515.54218439055
2659.64643253424,5640.36133722535,8460.54200583803,3868.62920327132
3323.15859211345,6823.69116895182,10235.5367534277,4650.565495742
3866.5992052799,8341.14542204741,12511.7181330711,6412.19594004218
4426.09466435132,9860.0715797878,14790.1073696817,8147.45123697457
4858.40689889927,11170.4169603729,16755.6254405594,9735.48846536106
5324.88101188707,12502.7107309017,18754.0660963526,11301.4360101088
5697.35950219879,13728.9652805431,20593.4479208147,12845.6011399105
6117.72490706712,14991.2306736316,22486.8460104474,14368.2868493349
6482.22201752734,16122.468246342,24183.702369513,15755.0367733657
6740.26573131368,17137.4021430274,25706.103214541,17123.9711850889
7032.22677600565,18114.6341001684,27171.9511502527,18363.3728243222
7343.70115819731,19164.4712881897,28746.7069322846,19698.7980631135
7607.05166855545,20096.3184511684,30144.4776767526,20907.8612701285
7825.12700556446,20915.280416045,31372.9206240675,21994.6429473352
8062.84367310629,21806.5369641841,32709.8054462761,23176.65488539
8257.46026812025,22588.5961043322,33882.8941564983,24239.121189107
8441.13161202295,23353.4141871782,35030.1212807673,25290.2007078731
8706.32609756055,24136.3136058187,36204.470408728,26226.5374632647
8844.18343282851,24786.8796220571,37180.3194330856,27153.8378463684
8973.11307657061,25423.569912326,38135.354868489,28072.1890651504
9093.31785224101,26046.6350524306,39069.9525786459,28981.6774859527
9310.76568361601,26706.9942987023,40060.4914480535,29782.7404286308
9390.83971349235,27226.1781995187,40839.267299278,30576.9277842585
9601.52242141313,27872.2018633774,41808.302795066,31364.2985665472
9644.15602931297,28292.6925569993,42439.0388354989,32047.7022875167
9681.1916987851,28704.7460046816,43057.1190070224,32725.9707512899
9856.15732586554,29251.9114376885,43877.8671565328,33399.142545404
9859.50333121861,29572.0590274895,44358.0885412342,33972.1194454056
10005.3085034746,30032.6242384156,45048.9363576234,34541.403944143
10150.174489665,30490.2218737116,45735.3328105674,35107.01983634
10143.1655559304,30793.9292709493,46190.8939064239,35668.9907633815
10260.6473736615,31168.8112575011,46753.2168862516,36134.5324716019
10224.157771131,31388.3387889931,47082.5081834897,36597.5727813756
10338.6584706499,31757.4810189097,47636.2215283645,37058.1251329467
10429.8160715699,32051.3663777906,48077.0495666858,37424.7846700293
10520.581760407,32343.9879354351,48515.9819031527,37789.867282094
10452.9391536413,32477.3330581342,48715.9995872014,38153.3797511613
10541.5820752594,32766.0993035578,49149.1489553367,38515.3288300839
10607.8140724203,32981.8587643449,49472.7881465174,38785.7687103736
10673.8323845359,33196.9219658639,49795.3829487959,39055.3357923698
10556.8638796496,33179.0493930953,49768.574089643,39234.5636838165
10621.5392267871,33391.9687977272,50087.9531965908,39502.6823570702
10664.5401577114,33533.5332092051,50300.2998138077,39680.9472405601
10707.4485473475,33674.7929006871,50512.1893510307,39858.82837124
10728.8681013137,33745.3086813367,50617.963022005,39947.6252875047
10750.264594463,33815.7485277002,50723.6227915504,40036.3265752188
10771.638051576,33886.1125214997,50829.1687822496,40124.9323373681
10792.9884974069,33956.4007443696,50934.6011165544,40213.4426768273
10792.9884974069,33956.4007443696,50934.6011165544,40213.4426768273
10792.9884974069,33956.4007443696,50934.6011165544,40213.4426768273
10792.9884974069,33956.4007443696,50934.6011165544,40213.4426768273
10771.638051576,33886.1125214997,50829.1687822496,40124.9323373681
10750.264594463,33815.7485277002,50723.6227915504,40036.3265752188
10728.8681013137,33745.3086813367,50617.963022005,39947.6252875047
10707.4485473475,33674.7929006871,50512.1893510307,39858.82837124
10664.5401577114,33533.5332092051,50300.2998138077,39680.9472405601
10621.5392267871,33391.9687977272,50087.9531965908,39502.6823570702
10556.8638796496,33179.0493930953,49768.574089643,39234.5636838165
10673.8323845359,33196.9219658639,49795.3829487959,39055.3357923698
10607.8140724203,32981.8587643449,49472.7881465174,38785.7687103736
10541.5820752594,32766.0993035578,49149.1489553367,38515.3288300839
10452.9391536413,32477.3330581342,48715.9995872014,38153.3797511613
10520.581760407,32343.9879354351,48515.9819031527,37789.867282094
10429.8160715699,32051.3663777906,48077.0495666858,37424.7846700293
10338.6584706499,31757.4810189097,47636.2215283645,37058.1251329467
10224.157771131,31388.3387889931,47082.5081834897,36597.5727813756
10260.6473736615,31168.8112575011,46753.2168862516,36134.5324716019
10143.1655559304,30793.9292709493,46190.8939064239,35668.9907633815
10150.174489665,30490.2218737116,45735.3328105674,35107.01983634
10005.3085034746,30032.6242384156,45048.9363576234,34541.403944143
9859.50333121861,29572.0590274895,44358.0885412342,33972.1194454056
9856.15732586554,29251.9114376885,43877.8671565328,33399.142545404
9681.1916987851,28704.7460046816,43057.1190070224,32725.9707512899
9644.15602931297,28292.6925569993,42439.0388354989,32047.7022875167
9601.52242141313,27872.2018633774,41808.302795066,31364.2985665472
9390.83971349235,27226.1781995187,40839.267299278,30576.9277842585
9310.76568361601,26706.9942987023,40060.4914480535,29782.7404286308
9093.31785224101,26046.6350524306,39069.9525786459,28981.6774859527
8973.11307657061,25423.569912326,38135.354868489,28072.1890651504
8844.18343282851,24786.8796220571,37180.3194330856,27153.8378463684
8706.32609756055,24136.3136058187,36204.470408728,26226.5374632647
8441.13161202295,23353.4141871782,35030.1212807673,25290.2007078731
8257.46026812025,22588.5961043322,33882.8941564983,24239.121189107
8062.84367310629,21806.5369641841,32709.8054462761,23176.65488539
7825.12700556446,20915.280416045,31372.9206240675,21994.6429473352
7607.05166855545,20096.3184511684,30144.4776767526,20907.8612701285
7343.70115819731,19164.4712881897,28746.7069322846,19698.7980631135
7032.22677600565,18114.6341001684,27171.9511502527,18363.3728243222
6740.26573131368,17137.4021430274,25706.103214541,17123.9711850889
6482.22201752734,16122.468246342,24183.702369513,15755.0367733657
6117.72490706712,14991.2306736316,22486.8460104474,14368.2868493349
5697.35950219879,13728.9652805431,20593.4479208147,12845.6011399105
5324.88101188707,12502.7107309017,18754.0660963526,11301.4360101088
4858.40689889927,11170.4169603729,16755.6254405594,9735.48846536106
4426.09466435132,9860.0715797878,14790.1073696817,8147.45123697457
3866.5992052799,8341.14542204741,12511.7181330711,6412.19594004218
3323.15859211345,6823.69116895182,10235.5367534277,4650.565495742
2659.64643253424,5640.36133722535,8460.54200583803,3868.62920327132
