Power,Fuel,Cost,Efficiency,Lifetime,Power Code
[433830.39884902],[0.],[7.88795278e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 0, 0, 0)"
[433830.39884902],[0.],[6.87847443e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 0, 0, 1)"
[433830.39884902],[0.],[6.90732613e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 0, 0, 2)"
[433830.39884902],[0.],[7.23609755e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 0, 1, 0)"
[433830.39884902],[0.],[6.40923959e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 0, 1, 1)"
[433830.39884902],[0.],[6.5339187e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 0, 1, 2)"
[433830.39884902],[0.],[2.62854953e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 1, 0, 0)"
[433830.39884902],[0.],[3.42734163e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 1, 0, 1)"
[433830.39884902],[0.],[4.40606318e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 1, 0, 2)"
[433830.39884902],[0.],[2.50725616e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 1, 1, 0)"
[433830.39884902],[0.],[3.30625275e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 1, 1, 1)"
[433830.39884902],[0.],[4.28498011e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 1, 1, 2)"
[433830.39884902],[0.],[2.58564964e+10],[433830.39884902],[10.],"(0, 0, 0, 0, 2, 0, 0)"
[433830.39884902],[0.],[1.99521812e+10],[433830.39884902],[10.],"(0, 0, 0, 0, 2, 0, 1)"
[433830.39884902],[0.],[1.74314037e+10],[433830.39884902],[10.],"(0, 0, 0, 0, 2, 0, 2)"
[433830.39884902],[0.],[2.33919622e+10],[433830.39884902],[10.],"(0, 0, 0, 0, 2, 1, 0)"
[433830.39884902],[0.],[1.81640619e+10],[433830.39884902],[10.],"(0, 0, 0, 0, 2, 1, 1)"
[433830.39884902],[0.],[1.59963202e+10],[433830.39884902],[10.],"(0, 0, 0, 0, 2, 1, 2)"
[433830.39884902],[0.],[2.20590685e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 3, 0, 0)"
[433830.39884902],[0.],[2.89419861e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 3, 0, 1)"
[433830.39884902],[0.],[3.82841646e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 3, 0, 2)"
[433830.39884902],[0.],[2.1272491e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 3, 1, 0)"
[433830.39884902],[0.],[2.82689244e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 3, 1, 1)"
[433830.39884902],[0.],[3.76560555e+09],[433830.39884902],[10.],"(0, 0, 0, 0, 3, 1, 2)"
[433940.39884902],[0.],[7.98795278e+09],[433940.39884902],[10.],"(0, 0, 0, 1, 0, 0, 0)"
[433940.39884902],[0.],[6.97847443e+09],[433940.39884902],[10.],"(0, 0, 0, 1, 0, 0, 1)"
[433940.39884902],[0.],[7.00732613e+09],[433940.39884902],[10.],"(0, 0, 0, 1, 0, 0, 2)"
[433940.39884902],[0.],[7.33609755e+09],[433940.39884902],[10.],"(0, 0, 0, 1, 0, 1, 0)"
[433940.39884902],[0.],[6.50923959e+09],[433940.39884902],[10.],"(0, 0, 0, 1, 0, 1, 1)"
