Power,Fuel,Cost,Efficiency,Lifetime,Power Code
486133.5340570324,0,8667733450.786732,486133.5340570324,10,"(0, 0, 0, 0, 0, 0)"
486133.5340570324,0,7440003349.318387,486133.5340570324,10,"(0, 0, 0, 0, 0, 1)"
486133.5340570324,0,7354330616.176204,486133.5340570324,10,"(0, 0, 0, 0, 0, 2)"
486133.5340570324,0,7937289736.428236,486133.5340570324,10,"(0, 0, 0, 0, 1, 0)"
486133.5340570324,0,6914196979.721104,486133.5340570324,10,"(0, 0, 0, 0, 1, 1)"
486133.5340570324,0,6935904722.492644,486133.5340570324,10,"(0, 0, 0, 0, 1, 2)"
486133.5340570324,0,2774249971.1066155,486133.5340570324,10,"(0, 0, 0, 1, 0, 0)"
486133.5340570324,0,3572797663.2831597,486133.5340570324,10,"(0, 0, 0, 1, 0, 1)"
486133.5340570324,0,4551512282.105312,486133.5340570324,10,"(0, 0, 0, 1, 0, 2)"
486133.5340570324,0,2638333316.34195,486133.5340570324,10,"(0, 0, 0, 1, 1, 0)"
486133.5340570324,0,3437110160.6768804,486133.5340570324,10,"(0, 0, 0, 1, 1, 1)"
486133.5340570324,0,4415831283.807952,486133.5340570324,10,"(0, 0, 0, 1, 1, 2)"
486133.5340570324,0,28802587194.928543,486133.5340570324,10,"(0, 0, 0, 2, 0, 0)"
486133.5340570324,0,22089892551.08747,486133.5340570324,10,"(0, 0, 0, 2, 0, 1)"
486133.5340570324,0,19147204121.037125,486133.5340570324,10,"(0, 0, 0, 2, 0, 2)"
486133.5340570324,0,26040925647.016186,486133.5340570324,10,"(0, 0, 0, 2, 1, 0)"
486133.5340570324,0,20086195410.366478,486133.5340570324,10,"(0, 0, 0, 2, 1, 1)"
486133.5340570324,0,17539105211.236988,486133.5340570324,10,"(0, 0, 0, 2, 1, 2)"
486133.5340570324,0,2300652961.36079,486133.5340570324,10,"(0, 0, 0, 3, 0, 0)"
486133.5340570324,0,2975378261.668077,486133.5340570324,10,"(0, 0, 0, 3, 0, 1)"
486133.5340570324,0,3904223753.445313,486133.5340570324,10,"(0, 0, 0, 3, 0, 2)"
486133.5340570324,0,2212512130.4148946,486133.5340570324,10,"(0, 0, 0, 3, 1, 0)"
486133.5340570324,0,2899957573.755569,486133.5340570324,10,"(0, 0, 0, 3, 1, 1)"
486133.5340570324,0,3833840282.0944524,486133.5340570324,10,"(0, 0, 0, 3, 1, 2)"
486243.5340570324,0,8767733450.786732,486243.5340570324,10,"(0, 0, 1, 0, 0, 0)"
486243.5340570324,0,7540003349.318387,486243.5340570324,10,"(0, 0, 1, 0, 0, 1)"
486243.5340570324,0,7454330616.176204,486243.5340570324,10,"(0, 0, 1, 0, 0, 2)"
486243.5340570324,0,8037289736.428236,486243.5340570324,10,"(0, 0, 1, 0, 1, 0)"
486243.5340570324,0,7014196979.721104,486243.5340570324,10,"(0, 0, 1, 0, 1, 1)"
486243.5340570324,0,7035904722.492644,486243.5340570324,10,"(0, 0, 1, 0, 1, 2)"
486243.5340570324,0,2874249971.1066155,486243.5340570324,10,"(0, 0, 1, 1, 0, 0)"
486243.5340570324,0,3672797663.2831597,486243.5340570324,10,"(0, 0, 1, 1, 0, 1)"
486243.5340570324,0,4651512282.105312,486243.5340570324,10,"(0, 0, 1, 1, 0, 2)"
486243.5340570324,0,2738333316.34195,486243.5340570324,10,"(0, 0, 1, 1, 1, 0)"
486243.5340570324,0,3537110160.6768804,486243.5340570324,10,"(0, 0, 1, 1, 1, 1)"
486243.5340570324,0,4515831283.807952,486243.5340570324,10,"(0, 0, 1, 1, 1, 2)"
486243.5340570324,0,28902587194.928543,486243.5340570324,10,"(0, 0, 1, 2, 0, 0)"
486243.5340570324,0,22189892551.08747,486243.5340570324,10,"(0, 0, 1, 2, 0, 1)"
486243.5340570324,0,19247204121.037125,486243.5340570324,10,"(0, 0, 1, 2, 0, 2)"
486243.5340570324,0,26140925647.016186,486243.5340570324,10,"(0, 0, 1, 2, 1, 0)"
486243.5340570324,0,20186195410.366478,486243.5340570324,10,"(0, 0, 1, 2, 1, 1)"
486243.5340570324,0,17639105211.236988,486243.5340570324,10,"(0, 0, 1, 2, 1, 2)"
486243.5340570324,0,2400652961.36079,486243.5340570324,10,"(0, 0, 1, 3, 0, 0)"
486243.5340570324,0,3075378261.668077,486243.5340570324,10,"(0, 0, 1, 3, 0, 1)"
486243.5340570324,0,4004223753.445313,486243.5340570324,10,"(0, 0, 1, 3, 0, 2)"
486243.5340570324,0,2312512130.4148946,486243.5340570324,10,"(0, 0, 1, 3, 1, 0)"
486243.5340570324,0,2999957573.755569,486243.5340570324,10,"(0, 0, 1, 3, 1, 1)"
486243.5340570324,0,3933840282.0944524,486243.5340570324,10,"(0, 0, 1, 3, 1, 2)"
486133.5340570324,0,6605490008.912474,486133.5340570324,10,"(0, 1, 0, 0, 0, 0)"
486133.5340570324,0,5986324715.8805,486133.5340570324,10,"(0, 1, 0, 0, 0, 1)"
486133.5340570324,0,6219987531.342584,486133.5340570324,10,"(0, 1, 0, 0, 0, 2)"
486133.5340570324,0,6094179408.861527,486133.5340570324,10,"(0, 1, 0, 0, 1, 0)"
486133.5340570324,0,5618260257.1624,486133.5340570324,10,"(0, 1, 0, 0, 1, 1)"
486133.5340570324,0,5927089405.7640915,486133.5340570324,10,"(0, 1, 0, 0, 1, 2)"
486133.5340570324,0,2480051573.1363945,486133.5340570324,10,"(0, 1, 0, 1, 0, 0)"
486133.5340570324,0,3279280735.6558404,486133.5340570324,10,"(0, 1, 0, 1, 0, 1)"
486133.5340570324,0,4258014697.4929595,486133.5340570324,10,"(0, 1, 0, 1, 0, 2)"
486133.5340570324,0,2384909914.8011284,486133.5340570324,10,"(0, 1, 0, 1, 1, 0)"
486133.5340570324,0,3184299483.8314447,486133.5340570324,10,"(0, 1, 0, 1, 1, 1)"
486133.5340570324,0,4163037998.6848073,486133.5340570324,10,"(0, 1, 0, 1, 1, 2)"
486133.5340570324,0,20699887629.81175,486133.5340570324,10,"(0, 1, 0, 2, 0, 0)"
486133.5340570324,0,16241247157.118858,486133.5340570324,10,"(0, 1, 0, 2, 0, 1)"
486133.5340570324,0,14474998984.745226,486133.5340570324,10,"(0, 1, 0, 2, 0, 2)"
486133.5340570324,0,18766724546.273098,486133.5340570324,10,"(0, 1, 0, 2, 1, 0)"
